temperature,rainfall,ph,humidity,area,crop
22.69,37.87,7.31,44.57,67.6,chickpea
21.88,121.85,5.84,71.76,112.46,cotton
28.02,38.92,5.62,39.35,122.13,cotton
20.33,60.54,7.62,38.58,83.44,chickpea
29.33,92.63,5.97,66.41,69.01,mango
25.71,22.85,7.05,86.23,137.0,muskmelon
18.67,38.79,6.81,48.33,75.57,chickpea
26.8,79.53,6.38,69.71,119.22,mango
20.78,98.55,6.19,62.12,22.8,kidneybeans
19.23,115.02,6.03,52.95,16.01,cotton
23.25,29.38,6.46,89.04,9.85,muskmelon
21.53,35.5,6.26,54.02,25.09,lentil
21.28,210.05,6.62,79.78,128.9,rice
31.0,31.99,7.05,88.0,111.88,muskmelon
27.19,228.46,5.99,85.11,50.3,rice
18.07,55.26,7.61,32.79,55.41,chickpea
28.7,57.4,6.8,88.95,90.87,watermelon
29.92,25.83,6.49,88.73,99.08,muskmelon
18.73,76.81,6.02,55.12,128.88,kidneybeans
21.71,50.41,6.81,44.08,143.01,chickpea
28.97,46.91,6.8,61.44,141.54,blackgram
18.42,41.19,6.54,60.55,126.73,lentil
25.56,76.34,5.72,58.51,99.7,kidneybeans
28.73,118.58,5.73,52.93,44.14,cotton
25.47,29.75,6.86,90.79,70.61,muskmelon
27.02,102.77,6.67,48.6,55.6,cotton
18.84,69.08,7.62,43.31,113.97,chickpea
25.74,29.68,7.2,92.23,99.92,muskmelon
27.4,71.63,7.18,55.59,93.41,maize
39.47,122.0,5.7,59.32,70.8,mango
28.01,219.07,7.01,68.18,86.18,rice
25.47,60.6,6.37,86.6,39.08,watermelon
16.0,20.7,6.67,53.19,86.43,lentil
23.97,47.85,7.55,48.56,32.46,chickpea
26.48,79.93,6.4,61.56,13.96,maize
25.18,44.92,7.62,38.55,12.84,chickpea
26.65,93.86,6.04,43.26,45.45,cotton
18.4,46.42,8.1,42.1,41.11,chickpea
24.42,91.46,5.8,58.27,95.15,kidneybeans
28.48,30.36,6.73,92.17,116.98,muskmelon
29.17,192.31,6.15,86.11,52.27,rice
27.53,70.41,6.06,61.12,134.78,maize
22.56,31.73,6.72,67.53,107.69,lentil
28.82,240.62,6.41,74.38,64.72,rice
20.4,33.59,6.11,66.58,27.44,lentil
31.66,89.07,6.33,61.33,49.97,mango
19.98,75.05,6.29,61.69,50.46,maize
31.2,62.34,6.58,82.71,51.32,watermelon
27.66,81.94,7.21,67.95,65.88,maize
30.76,56.96,6.16,86.74,149.41,watermelon
26.88,31.81,6.85,89.84,34.06,muskmelon
16.37,29.7,6.26,56.3,49.77,lentil
25.36,110.66,6.03,56.72,46.57,kidneybeans
26.02,83.38,6.16,52.8,56.52,kidneybeans
23.79,39.32,6.85,39.25,80.75,chickpea
24.06,45.92,7.59,47.7,57.29,chickpea
30.88,101.23,6.03,65.51,63.69,mango
20.52,52.71,6.15,85.98,52.78,watermelon
28.57,66.8,7.09,65.98,71.61,blackgram
14.36,19.62,6.09,60.93,80.77,lentil
26.13,54.02,6.41,46.49,38.63,chickpea
32.29,61.38,6.36,89.09,99.32,watermelon
22.19,85.93,6.0,47.04,53.01,cotton
36.88,45.78,7.11,73.24,40.56,blackgram
25.87,96.84,6.05,56.95,36.86,mango
29.46,48.19,6.76,58.25,120.01,blackgram
23.28,52.85,6.14,47.86,127.37,cotton
30.96,125.23,6.2,50.59,65.41,mango
31.78,77.47,6.56,50.39,100.63,cotton
29.34,67.69,6.33,52.13,79.32,cotton
23.82,65.9,5.87,63.42,16.97,kidneybeans
32.49,47.45,7.58,70.22,122.48,blackgram
36.86,107.11,6.3,56.94,149.35,mango
24.56,104.25,5.43,58.77,61.51,kidneybeans
26.97,195.71,6.16,84.95,99.59,rice
33.87,35.5,6.53,90.87,23.63,muskmelon
14.96,62.7,7.3,42.18,72.8,chickpea
32.36,45.68,6.46,64.53,112.55,blackgram
29.68,29.71,6.43,91.68,26.21,muskmelon
24.31,46.81,6.68,49.97,106.75,chickpea
32.32,69.03,6.67,74.04,131.12,blackgram
30.63,59.78,6.32,85.62,101.1,watermelon
29.8,48.53,6.6,72.12,147.39,maize
31.82,60.77,7.16,68.78,18.43,blackgram
21.68,99.51,5.96,57.65,93.87,kidneybeans
21.25,80.81,5.71,72.79,73.35,kidneybeans
25.15,50.47,8.06,41.55,113.36,chickpea
22.14,115.8,5.8,60.7,80.48,kidneybeans
27.75,88.69,5.96,57.11,106.25,cotton
28.61,35.63,7.23,88.19,100.5,muskmelon
18.97,104.19,5.75,47.85,109.36,cotton
21.53,16.2,6.47,64.21,30.97,lentil
29.59,25.66,7.83,91.63,39.23,muskmelon
25.4,43.18,6.56,61.96,137.1,lentil
16.62,36.76,5.9,62.87,147.31,lentil
18.3,59.21,6.64,42.06,66.86,chickpea
28.48,49.57,6.55,68.88,119.1,maize
23.02,84.88,5.85,69.13,42.74,cotton
20.5,32.74,6.19,55.56,77.94,lentil
25.15,106.33,5.95,63.25,85.35,kidneybeans
28.76,51.94,5.5,29.5,82.29,cotton
37.1,65.12,7.37,58.11,28.17,blackgram
27.94,67.99,6.89,80.28,132.92,maize
19.26,37.03,6.97,50.39,123.06,chickpea
21.44,44.16,6.46,40.81,48.64,chickpea
31.72,183.69,6.03,82.51,61.36,rice
26.4,201.02,6.29,83.47,113.74,rice
25.77,180.97,6.7,85.87,63.9,rice
24.05,73.87,5.89,61.75,109.8,kidneybeans
27.11,25.91,7.2,91.28,141.59,muskmelon
25.89,41.51,6.84,90.29,117.39,muskmelon
29.77,20.35,5.74,48.47,6.75,lentil
19.9,108.22,6.21,56.04,62.16,kidneybeans
20.15,50.0,7.17,34.41,95.03,chickpea
30.48,85.89,5.22,84.12,14.82,mango
20.85,106.03,5.8,53.41,43.47,kidneybeans
23.86,113.57,5.8,58.93,66.91,kidneybeans
23.27,30.37,6.95,33.85,4.66,chickpea
13.32,43.08,7.72,34.0,25.87,chickpea
23.11,44.08,7.04,69.2,22.77,maize
23.12,98.45,5.61,51.45,7.13,kidneybeans
13.71,51.72,7.0,36.55,92.75,chickpea
22.26,85.87,6.2,67.34,37.51,cotton
18.2,35.93,6.01,51.66,79.14,lentil
26.41,80.84,6.81,60.36,42.8,maize
21.27,133.19,6.07,66.22,5.73,kidneybeans
19.0,54.37,7.07,34.83,138.91,chickpea
28.65,56.82,6.49,84.72,141.8,watermelon
32.87,87.04,6.0,67.39,144.33,mango
18.72,46.33,6.94,39.74,82.26,chickpea
24.32,99.73,6.06,52.95,49.26,cotton
20.82,52.91,7.39,48.37,90.47,chickpea
32.1,76.55,7.22,70.56,74.89,blackgram
23.04,79.97,5.99,66.45,38.74,cotton
22.37,70.97,6.11,54.4,149.74,kidneybeans
26.69,28.43,6.46,90.93,103.22,muskmelon
22.06,192.74,6.66,80.94,60.63,rice
27.24,58.68,6.79,68.76,99.94,blackgram
19.55,34.72,6.39,53.26,47.18,lentil
31.19,61.18,6.64,87.1,44.11,watermelon
28.55,43.53,6.79,69.44,67.01,blackgram
29.57,45.04,5.87,93.5,96.38,watermelon
25.09,69.64,5.99,66.82,5.36,maize
35.33,99.78,6.41,62.34,126.74,mango
24.79,52.46,5.83,89.14,111.26,watermelon
